TimeStamp,Column1,TotalCores
2019-08-07 01:00,t6str,94796
2019-08-07 01:00,t7str,36024
2019-08-07 02:00,t1str,59920
2019-08-07 02:00,t2str,89780
2019-08-07 02:00,t3str,108880
2019-08-07 02:00,t5str,86744
2019-08-07 02:00,t6str,94444
2019-08-07 02:00,t7str,35088
2019-08-07 03:00,t1str,58298
2019-08-07 03:00,t2str,89064
2019-08-07 03:00,t3str,108620
2019-08-07 03:00,t5str,88720
2019-08-07 03:00,t6str,94608
2019-08-07 03:00,t7str,34656
2019-08-07 04:00,t1str,58634
2019-08-07 04:00,t2str,88148
2019-08-07 04:00,t3str,108568
2019-08-07 04:00,t5str,87320
2019-08-07 04:00,t6str,94020
2019-08-07 04:00,t7str,34464
2019-08-07 05:00,t1str,57746
2019-08-07 05:00,t2str,87960
2019-08-07 05:00,t3str,108440
2019-08-07 05:00,t5str,87080
2019-08-07 05:00,t6str,93792
2019-08-07 05:00,t7str,34392
2019-08-07 06:00,t1str,56780
2019-08-07 06:00,t2str,88012
2019-08-07 06:00,t3str,108132
2019-08-07 06:00,t5str,86520
2019-08-07 06:00,t6str,93996
2019-08-07 06:00,t7str,34368
2019-08-07 07:00,t1str,55670
2019-08-07 07:00,t2str,87820
2019-08-07 07:00,t3str,107978
2019-08-07 07:00,t5str,85560
2019-08-07 07:00,t6str,93712
2019-08-07 07:00,t7str,34272
2019-08-07 08:00,t1str,54568
2019-08-07 08:00,t2str,87592
2019-08-07 08:00,t3str,108012
2019-08-07 08:00,t5str,84304
2019-08-07 08:00,t6str,93732
2019-08-07 08:00,t7str,34080
2019-08-07 09:00,t1str,54608
2019-08-07 09:00,t2str,87284
2019-08-07 09:00,t3str,107436
2019-08-07 09:00,t5str,86952
2019-08-07 09:00,t6str,94072
2019-08-07 09:00,t7str,34536
2019-08-07 10:00,t1str,54754
2019-08-07 10:00,t2str,87624
2019-08-07 10:00,t3str,107470
2019-08-07 10:00,t5str,87088
2019-08-07 10:00,t6str,93872
2019-08-07 10:00,t7str,34968
2019-08-07 11:00,t1str,54290
2019-08-07 11:00,t2str,87432
2019-08-07 11:00,t3str,107270
2019-08-07 11:00,t5str,86480
2019-08-07 11:00,t6str,93924
2019-08-07 11:00,t7str,35352
2019-08-07 12:00,t1str,54474
2019-08-07 12:00,t2str,87476
2019-08-07 12:00,t3str,107188
2019-08-07 12:00,t5str,87936
2019-08-07 12:00,t6str,93972
2019-08-07 12:00,t7str,35976
2019-08-07 13:00,t1str,55302
2019-08-07 13:00,t2str,88012
2019-08-07 13:00,t3str,107154
2019-08-07 13:00,t5str,88376
2019-08-07 13:00,t6str,93908
2019-08-07 13:00,t7str,36240
2019-08-07 14:00,t1str,55888
2019-08-07 14:00,t2str,88072
2019-08-07 14:00,t3str,107336
2019-08-07 14:00,t5str,87712
2019-08-07 14:00,t6str,94012
2019-08-07 14:00,t7str,36192
2019-08-07 15:00,t1str,55348
2019-08-07 15:00,t2str,88264
2019-08-07 15:00,t3str,107566
2019-08-07 15:00,t5str,86520
2019-08-07 15:00,t6str,94000
2019-08-07 15:00,t7str,35928
2019-08-07 16:00,t1str,56600
2019-08-07 16:00,t2str,88348
2019-08-07 16:00,t3str,107548
2019-08-07 16:00,t5str,86200
2019-08-07 16:00,t6str,94048
2019-08-07 16:00,t7str,35664
2019-08-07 17:00,t1str,56200
2019-08-07 17:00,t2str,88204
2019-08-07 17:00,t3str,107620
2019-08-07 17:00,t5str,86040
2019-08-07 17:00,t6str,94008
2019-08-07 17:00,t7str,35688
2019-08-07 18:00,t1str,56764
2019-08-07 18:00,t2str,88204
2019-08-07 18:00,t3str,107724
2019-08-07 18:00,t5str,84408
2019-08-07 18:00,t6str,93728
2019-08-07 18:00,t7str,35592
2019-08-07 19:00,t1str,56554
2019-08-07 19:00,t2str,88708
2019-08-07 19:00,t3str,107822
2019-08-07 19:00,t5str,83736
2019-08-07 19:00,t6str,93556
2019-08-07 19:00,t7str,35568
2019-08-07 20:00,t1str,56260
2019-08-07 20:00,t2str,88016
2019-08-07 20:00,t3str,107646
2019-08-07 20:00,t5str,83272
2019-08-07 20:00,t6str,93540
2019-08-07 20:00,t7str,35496
2019-08-07 21:00,t1str,57160
2019-08-07 21:00,t2str,88052
2019-08-07 21:00,t3str,107652
2019-08-07 21:00,t5str,83696
2019-08-07 21:00,t6str,93644
2019-08-07 21:00,t7str,35400
2019-08-07 22:00,t1str,56644
2019-08-07 22:00,t2str,87768
2019-08-07 22:00,t3str,108072
2019-08-07 22:00,t5str,83224
2019-08-07 22:00,t6str,93536
2019-08-07 22:00,t7str,35352
2019-08-07 23:00,t1str,56626
2019-08-07 23:00,t2str,87568
2019-08-07 23:00,t3str,108200
2019-08-07 23:00,t5str,83712
2019-08-07 23:00,t6str,94048
2019-08-07 23:00,t7str,35448
2019-08-08 00:00,t1str,57818
2019-08-08 00:00,t2str,87392
2019-08-08 00:00,t3str,108040
2019-08-08 00:00,t5str,83592
2019-08-08 00:00,t6str,94220
2019-08-08 00:00,t7str,35376
2019-08-08 01:00,t1str,56878
2019-08-08 01:00,t2str,87232
2019-08-08 01:00,t3str,108184
2019-08-08 01:00,t5str,83528
2019-08-08 01:00,t6str,93924
2019-08-08 01:00,t7str,35328
2019-08-08 02:00,t1str,57656
2019-08-08 02:00,t2str,86552
2019-08-08 02:00,t3str,108012
2019-08-08 02:00,t5str,84688
2019-08-08 02:00,t6str,94180
2019-08-08 02:00,t7str,34488
2019-08-08 03:00,t1str,56622
2019-08-08 03:00,t2str,86420
2019-08-08 03:00,t3str,108232
2019-08-08 03:00,t5str,85288
2019-08-08 03:00,t6str,94352
2019-08-08 03:00,t7str,34680
2019-08-08 04:00,t1str,56936
2019-08-08 04:00,t2str,86264
2019-08-08 04:00,t3str,108226
2019-08-08 04:00,t5str,86624
2019-08-08 04:00,t6str,94568
2019-08-08 04:00,t7str,34296
2019-08-08 05:00,t1str,57354
2019-08-08 05:00,t2str,86580
2019-08-08 05:00,t3str,108092
2019-08-08 05:00,t5str,86984
2019-08-08 05:00,t6str,94612
2019-08-08 05:00,t7str,34392
2019-08-08 06:00,t1str,56028
2019-08-08 06:00,t2str,85680
2019-08-08 06:00,t3str,107612
2019-08-08 06:00,t5str,86112
2019-08-08 06:00,t6str,94848
2019-08-08 06:00,t7str,34248
2019-08-08 07:00,t1str,54554
2019-08-08 07:00,t2str,86328
2019-08-08 07:00,t3str,107296
2019-08-08 07:00,t5str,85048
2019-08-08 07:00,t6str,94548
2019-08-08 07:00,t7str,34224
2019-08-08 08:00,t1str,53552
2019-08-08 08:00,t2str,85544
2019-08-08 08:00,t3str,107014
2019-08-08 08:00,t5str,83744
2019-08-08 08:00,t6str,94072
2019-08-08 08:00,t7str,34080
2019-08-08 09:00,t1str,53256
2019-08-08 09:00,t2str,85128
2019-08-08 09:00,t3str,107014
2019-08-08 09:00,t5str,86688
2019-08-08 09:00,t6str,94064
2019-08-08 09:00,t7str,34344
2019-08-08 10:00,t1str,53682
2019-08-08 10:00,t2str,85316
2019-08-08 10:00,t3str,106782
2019-08-08 10:00,t5str,87456
2019-08-08 10:00,t6str,94204
2019-08-08 10:00,t7str,35112
2019-08-08 11:00,t1str,53912
2019-08-08 11:00,t2str,85452
2019-08-08 11:00,t3str,106720
2019-08-08 11:00,t5str,86416
2019-08-08 11:00,t6str,94092
2019-08-08 11:00,t7str,35232
2019-08-08 12:00,t1str,54130
2019-08-08 12:00,t2str,85628
2019-08-08 12:00,t3str,106632
2019-08-08 12:00,t5str,88184
2019-08-08 12:00,t6str,94084
2019-08-08 12:00,t7str,35136
2019-08-08 13:00,t1str,53750
2019-08-08 13:00,t2str,85872
2019-08-08 13:00,t3str,106714
2019-08-08 13:00,t5str,87224
2019-08-08 13:00,t6str,93952
2019-08-08 13:00,t7str,35688
2019-08-08 14:00,t1str,54398
2019-08-08 14:00,t2str,85964
2019-08-08 14:00,t3str,107244
2019-08-08 14:00,t5str,85792
2019-08-08 14:00,t6str,94064
2019-08-08 14:00,t7str,35664
2019-08-08 15:00,t1str,54520
2019-08-08 15:00,t2str,86352
2019-08-08 15:00,t3str,107048
2019-08-08 15:00,t5str,84872
2019-08-08 15:00,t6str,94120
2019-08-08 15:00,t7str,35904
2019-08-08 16:00,t1str,55672
2019-08-08 16:00,t2str,87040
2019-08-08 16:00,t3str,107042
2019-08-08 16:00,t5str,81800
2019-08-08 16:00,t6str,93964
2019-08-08 16:00,t7str,35496
2019-08-08 17:00,t1str,54934
2019-08-08 17:00,t2str,87072
2019-08-08 17:00,t3str,107414
2019-08-08 17:00,t5str,85672
2019-08-08 17:00,t6str,93944
2019-08-08 17:00,t7str,35448
2019-08-08 18:00,t1str,55858
2019-08-08 18:00,t2str,86944
2019-08-08 18:00,t3str,107644
2019-08-08 18:00,t5str,84592
2019-08-08 18:00,t6str,94040
2019-08-08 18:00,t7str,35568
2019-08-08 19:00,t1str,54790
2019-08-08 19:00,t2str,87124
2019-08-08 19:00,t3str,107708
2019-08-08 19:00,t5str,83648
2019-08-08 19:00,t6str,93964
2019-08-08 19:00,t7str,36648
2019-08-08 20:00,t1str,55164
2019-08-08 20:00,t2str,86248
2019-08-08 20:00,t3str,107964
2019-08-08 20:00,t5str,85624
2019-08-08 20:00,t6str,93908
2019-08-08 20:00,t7str,36720
2019-08-08 21:00,t1str,55746
2019-08-08 21:00,t2str,86404
2019-08-08 21:00,t3str,107338
2019-08-08 21:00,t5str,85344
2019-08-08 21:00,t6str,93916
2019-08-08 21:00,t7str,35520
2019-08-08 22:00,t1str,55574
2019-08-08 22:00,t2str,86312
2019-08-08 22:00,t3str,107444
2019-08-08 22:00,t5str,84824
2019-08-08 22:00,t6str,93984
2019-08-08 22:00,t7str,35472
2019-08-08 23:00,t1str,56150
2019-08-08 23:00,t2str,86368
2019-08-08 23:00,t3str,108002
2019-08-08 23:00,t5str,85936
2019-08-08 23:00,t6str,93904
2019-08-08 23:00,t7str,35472
2019-08-09 00:00,t1str,56808
2019-08-09 00:00,t2str,88228
2019-08-09 00:00,t3str,108044
2019-08-09 00:00,t5str,85104
2019-08-09 00:00,t6str,93936
2019-08-09 00:00,t7str,35424
2019-08-09 01:00,t1str,56488
2019-08-09 01:00,t2str,89720
2019-08-09 01:00,t3str,107886
2019-08-09 01:00,t5str,83560
2019-08-09 01:00,t6str,94036
2019-08-09 01:00,t7str,35472
2019-08-09 02:00,t1str,56586
2019-08-09 02:00,t2str,87604
2019-08-09 02:00,t3str,107568
2019-08-09 02:00,t5str,82536
2019-08-09 02:00,t6str,94344
2019-08-09 02:00,t7str,35400
2019-08-09 03:00,t1str,55440
2019-08-09 03:00,t2str,85380
2019-08-09 03:00,t3str,107224
2019-08-09 03:00,t5str,81384
2019-08-09 03:00,t6str,94408
2019-08-09 03:00,t7str,34584
2019-08-09 04:00,t1str,56232
2019-08-09 04:00,t2str,85260
2019-08-09 04:00,t3str,107260
2019-08-09 04:00,t5str,81176
2019-08-09 04:00,t6str,94432
2019-08-09 04:00,t7str,34608
2019-08-09 05:00,t1str,56020
2019-08-09 05:00,t2str,84960
2019-08-09 05:00,t3str,106990
2019-08-09 05:00,t5str,81552
2019-08-09 05:00,t6str,94260
2019-08-09 05:00,t7str,34704
2019-08-09 06:00,t1str,55712
2019-08-09 06:00,t2str,84868
2019-08-09 06:00,t3str,106834
2019-08-09 06:00,t5str,81280
2019-08-09 06:00,t6str,94280
2019-08-09 06:00,t7str,34752
2019-08-09 07:00,t1str,55904
2019-08-09 07:00,t2str,85468
2019-08-09 07:00,t3str,106814
2019-08-09 07:00,t5str,81432
2019-08-09 07:00,t6str,94364
2019-08-09 07:00,t7str,34776
2019-08-09 08:00,t1str,56366
2019-08-09 08:00,t2str,85408
2019-08-09 08:00,t3str,107176
2019-08-09 08:00,t5str,84208
2019-08-09 08:00,t6str,94016
2019-08-09 08:00,t7str,35112
2019-08-09 09:00,t1str,54832
2019-08-09 09:00,t2str,84540
2019-08-09 09:00,t3str,107180
2019-08-09 09:00,t5str,86064
2019-08-09 09:00,t6str,93828
2019-08-09 09:00,t7str,36504
2019-08-09 10:00,t1str,55718
2019-08-09 10:00,t2str,84796
2019-08-09 10:00,t3str,107064
2019-08-09 10:00,t5str,86200
2019-08-09 10:00,t6str,93992
2019-08-09 10:00,t7str,37368
2019-08-09 11:00,t1str,56204
2019-08-09 11:00,t2str,85412
2019-08-09 11:00,t3str,107324
2019-08-09 11:00,t5str,86960
2019-08-09 11:00,t6str,94192
2019-08-09 11:00,t7str,40080
2019-08-09 12:00,t1str,56816
2019-08-09 12:00,t2str,85308
2019-08-09 12:00,t3str,107232
2019-08-09 12:00,t5str,87344
2019-08-09 12:00,t6str,94236
2019-08-09 12:00,t7str,41904
2019-08-09 13:00,t1str,55890
2019-08-09 13:00,t2str,86000
2019-08-09 13:00,t3str,107060
2019-08-09 13:00,t5str,86520
2019-08-09 13:00,t6str,94072
2019-08-09 13:00,t7str,40704
2019-08-09 14:00,t1str,56558
2019-08-09 14:00,t2str,88108
2019-08-09 14:00,t3str,107756
2019-08-09 14:00,t5str,87040
2019-08-09 14:00,t6str,94096
2019-08-09 14:00,t7str,41088
2019-08-09 15:00,t1str,57056
2019-08-09 15:00,t2str,87852
2019-08-09 15:00,t3str,108794
2019-08-09 15:00,t5str,87728
2019-08-09 15:00,t6str,94192
2019-08-09 15:00,t7str,47112
2019-08-09 16:00,t1str,57100
2019-08-09 16:00,t2str,87876
2019-08-09 16:00,t3str,109216
2019-08-09 16:00,t5str,87384
2019-08-09 16:00,t6str,94100
2019-08-09 16:00,t7str,42312
2019-08-09 17:00,t1str,57452
2019-08-09 17:00,t2str,89388
2019-08-09 17:00,t3str,108302
2019-08-09 17:00,t5str,86944
2019-08-09 17:00,t6str,94016
2019-08-09 17:00,t7str,46200
2019-08-09 18:00,t1str,56806
2019-08-09 18:00,t2str,90560
2019-08-09 18:00,t3str,108022
2019-08-09 18:00,t5str,87192
2019-08-09 18:00,t6str,94000
2019-08-09 18:00,t7str,42264
2019-08-09 19:00,t1str,57418
2019-08-09 19:00,t2str,90404
