TimeStamp,Column1,TotalCores
2019-08-07 13:00,64str,304.65
2019-08-07 13:00,65str,955.8
2019-08-07 14:00,41str,1048.4
2019-08-07 14:00,42str,2545
2019-08-07 14:00,64str,317.025
2019-08-07 14:00,65str,958.65
2019-08-07 15:00,41str,1006.175
2019-08-07 15:00,42str,2542.1
2019-08-07 15:00,64str,288.65
2019-08-07 15:00,65str,967.3
2019-08-07 16:00,41str,1007.675
2019-08-07 16:00,42str,2560.55
2019-08-07 16:00,64str,283.725
2019-08-07 16:00,65str,970.1
2019-08-07 17:00,41str,1007.225
2019-08-07 17:00,42str,2565.35
2019-08-07 17:00,64str,279.3
2019-08-07 17:00,65str,970.1
2019-08-07 18:00,41str,1006.875
2019-08-07 18:00,42str,2594.25
2019-08-07 18:00,64str,280.3
2019-08-07 18:00,65str,972.2
2019-08-07 19:00,41str,1012.475
2019-08-07 19:00,42str,2591.15
2019-08-07 19:00,64str,318.075
2019-08-07 19:00,65str,967
2019-08-07 20:00,41str,1014.1
2019-08-07 20:00,42str,2611
2019-08-07 20:00,64str,315.375
2019-08-07 20:00,65str,964.9
2019-08-07 21:00,41str,1011.125
2019-08-07 21:00,42str,2599.1
2019-08-07 21:00,64str,313.75
2019-08-07 21:00,65str,964.25
2019-08-07 22:00,41str,1008.6
2019-08-07 22:00,42str,2625.65
2019-08-07 22:00,64str,311.925
2019-08-07 22:00,65str,962.8
2019-08-07 23:00,41str,1010.275
2019-08-07 23:00,42str,2619.2
2019-08-07 23:00,64str,278
2019-08-07 23:00,65str,956.95
2019-08-08 00:00,41str,1048.9
2019-08-08 00:00,42str,2633.35
2019-08-08 00:00,64str,276.825
2019-08-08 00:00,65str,946.05
2019-08-08 01:00,41str,1006.875
2019-08-08 01:00,42str,2609.55
2019-08-08 01:00,64str,278.025
2019-08-08 01:00,65str,932.9
2019-08-08 02:00,41str,1007.125
2019-08-08 02:00,42str,2621
2019-08-08 02:00,64str,278.3
2019-08-08 02:00,65str,922.1
2019-08-08 03:00,41str,1005.65
2019-08-08 03:00,42str,2622.75
2019-08-08 03:00,64str,275.95
2019-08-08 03:00,65str,910.75
2019-08-08 04:00,41str,1006.15
2019-08-08 04:00,42str,2630.1
2019-08-08 04:00,64str,278.7
2019-08-08 04:00,65str,902.25
2019-08-08 05:00,41str,1008.525
2019-08-08 05:00,42str,2632.6
2019-08-08 05:00,64str,318.325
2019-08-08 05:00,65str,877.2
2019-08-08 06:00,41str,1009.45
2019-08-08 06:00,42str,2628.5
2019-08-08 06:00,64str,315.25
2019-08-08 06:00,65str,869.85
2019-08-08 07:00,41str,1004.525
2019-08-08 07:00,42str,2596.95
2019-08-08 07:00,64str,318.75
2019-08-08 07:00,65str,875.8
2019-08-08 08:00,41str,1004.375
2019-08-08 08:00,42str,2572.7
2019-08-08 08:00,64str,324.325
2019-08-08 08:00,65str,884.6
2019-08-08 09:00,41str,1002.95
2019-08-08 09:00,42str,2556.85
2019-08-08 09:00,64str,281.9
2019-08-08 09:00,65str,879.05
2019-08-08 10:00,41str,1002.25
2019-08-08 10:00,42str,2536.5
2019-08-08 10:00,64str,285.175
2019-08-08 10:00,65str,880.75
2019-08-08 11:00,41str,1042.95
2019-08-08 11:00,42str,2535.25
2019-08-08 11:00,64str,283.5
2019-08-08 11:00,65str,880.4
2019-08-08 12:00,41str,1000.575
2019-08-08 12:00,42str,2538.25
2019-08-08 12:00,64str,275.975
2019-08-08 12:00,65str,881.25
2019-08-08 13:00,41str,1001.2
2019-08-08 13:00,42str,2525
2019-08-08 13:00,64str,355.225
2019-08-08 13:00,65str,881.1
2019-08-08 14:00,41str,1002.225
2019-08-08 14:00,42str,2516.2
2019-08-08 14:00,64str,352
2019-08-08 14:00,65str,876.8
2019-08-08 15:00,41str,1044.85
2019-08-08 15:00,42str,2513.15
2019-08-08 15:00,64str,286.1
2019-08-08 15:00,65str,879.35
2019-08-08 16:00,41str,1045.925
2019-08-08 16:00,42str,2523
2019-08-08 16:00,64str,276.95
2019-08-08 16:00,65str,878.3
2019-08-08 17:00,41str,1045.825
2019-08-08 17:00,42str,2535.2
2019-08-08 17:00,64str,280.15
2019-08-08 17:00,65str,879.25
2019-08-08 18:00,41str,1046.5
2019-08-08 18:00,42str,2577.1
2019-08-08 18:00,64str,275.1
2019-08-08 18:00,65str,878.05
2019-08-08 19:00,41str,1045.725
2019-08-08 19:00,42str,2579.65
2019-08-08 19:00,64str,299.825
2019-08-08 19:00,65str,878.9
2019-08-08 20:00,41str,1054.75
2019-08-08 20:00,42str,2610
2019-08-08 20:00,64str,297.825
2019-08-08 20:00,65str,878.65
2019-08-08 21:00,41str,1006.25
2019-08-08 21:00,42str,2603.15
2019-08-08 21:00,64str,298.8
2019-08-08 21:00,65str,877.7
2019-08-08 22:00,41str,1010.475
2019-08-08 22:00,42str,2616.25
2019-08-08 22:00,64str,264.8
2019-08-08 22:00,65str,876.7
2019-08-08 23:00,41str,1006.525
2019-08-08 23:00,42str,2613.75
2019-08-08 23:00,64str,259.45
2019-08-08 23:00,65str,872.35
2019-08-09 00:00,41str,1010.95
2019-08-09 00:00,42str,2645.85
2019-08-09 00:00,64str,265.475
2019-08-09 00:00,65str,879.35
2019-08-09 01:00,41str,1006.475
2019-08-09 01:00,42str,2630.95
2019-08-09 01:00,64str,261.7
