TimeStamp,Column1,TotalCores
2019-08-06 00:00,m1str,184836
2019-08-06 00:00,m2str,150252
2019-08-06 00:00,m3str,180596
2019-08-06 00:00,m4str,192124
2019-08-06 01:00,m1str,184592
2019-08-06 01:00,m2str,149296
2019-08-06 01:00,m3str,178820
2019-08-06 01:00,m4str,189816
2019-08-06 02:00,m1str,182976
2019-08-06 02:00,m2str,146422
2019-08-06 02:00,m3str,177500
2019-08-06 02:00,m4str,186648
2019-08-06 03:00,m1str,183048
2019-08-06 03:00,m2str,145658
2019-08-06 03:00,m3str,176992
2019-08-06 03:00,m4str,184792
2019-08-06 04:00,m1str,182292
2019-08-06 04:00,m2str,147518
2019-08-06 04:00,m3str,175948
2019-08-06 04:00,m4str,186300
2019-08-06 05:00,m1str,181748
2019-08-06 05:00,m2str,146512
2019-08-06 05:00,m3str,174344
2019-08-06 05:00,m4str,184934
2019-08-06 06:00,m1str,180804
2019-08-06 06:00,m2str,145384
2019-08-06 06:00,m3str,172536
2019-08-06 06:00,m4str,181840
2019-08-06 07:00,m1str,180948
2019-08-06 07:00,m2str,144930
2019-08-06 07:00,m3str,174036
2019-08-06 07:00,m4str,181154
2019-08-06 08:00,m1str,181264
2019-08-06 08:00,m2str,144706
2019-08-06 08:00,m3str,174028
2019-08-06 08:00,m4str,180452
2019-08-06 09:00,m1str,180468
2019-08-06 09:00,m2str,145166
2019-08-06 09:00,m3str,172688
2019-08-06 09:00,m4str,180686
2019-08-06 10:00,m1str,181672
2019-08-06 10:00,m2str,144926
2019-08-06 10:00,m3str,175840
2019-08-06 10:00,m4str,183874
2019-08-06 11:00,m1str,181700
2019-08-06 11:00,m2str,147084
2019-08-06 11:00,m3str,176620
2019-08-06 11:00,m4str,186688
2019-08-06 12:00,m1str,181148
2019-08-06 12:00,m2str,149430
2019-08-06 12:00,m3str,177424
2019-08-06 12:00,m4str,190914
2019-08-06 13:00,m1str,181916
2019-08-06 13:00,m2str,151462
2019-08-06 13:00,m3str,177700
2019-08-06 13:00,m4str,191132
2019-08-06 14:00,m1str,183980
2019-08-06 14:00,m2str,149706
2019-08-06 14:00,m3str,178708
2019-08-06 14:00,m4str,190012
2019-08-06 15:00,m1str,184376
2019-08-06 15:00,m2str,151258
2019-08-06 15:00,m3str,178424
2019-08-06 15:00,m4str,189192
2019-08-06 16:00,m1str,182924
2019-08-06 16:00,m2str,154064
2019-08-06 16:00,m3str,179444
2019-08-06 16:00,m4str,196334
2019-08-06 17:00,m1str,184064
2019-08-06 17:00,m2str,152604
2019-08-06 17:00,m3str,179416
2019-08-06 17:00,m4str,192140
2019-08-06 18:00,m1str,184020
