TimeStamp,Column1,TotalCores
2017-01-02 14:00,m3str,129076
2017-01-02 14:00,m4str,91020
2017-01-02 15:00,m1str,150760
2017-01-02 15:00,m2str,141201
2017-01-02 15:00,m3str,128869
2017-01-02 15:00,m4str,89508
2017-01-02 16:00,m1str,149088
2017-01-02 16:00,m2str,141155
2017-01-02 16:00,m3str,127771
2017-01-02 16:00,m4str,87916
2017-01-02 17:00,m1str,148964
2017-01-02 17:00,m2str,141929
2017-01-02 17:00,m3str,128387
2017-01-02 17:00,m4str,87956
2017-01-02 18:00,m1str,149860
2017-01-02 18:00,m2str,141816
2017-01-02 18:00,m3str,128916
2017-01-02 18:00,m4str,88410
2017-01-02 19:00,m1str,149512
2017-01-02 19:00,m2str,141570
2017-01-02 19:00,m3str,128344
2017-01-02 19:00,m4str,87789
2017-01-02 20:00,m1str,150048
2017-01-02 20:00,m2str,142076
2017-01-02 20:00,m3str,128100
2017-01-02 20:00,m4str,88113
2017-01-02 21:00,m1str,149380
2017-01-02 21:00,m2str,140818
2017-01-02 21:00,m3str,127416
2017-01-02 21:00,m4str,88414
2017-01-02 22:00,m1str,149068
2017-01-02 22:00,m2str,139947
2017-01-02 22:00,m3str,126697
2017-01-02 22:00,m4str,88097
2017-01-02 23:00,m1str,149576
2017-01-02 23:00,m2str,138415
2017-01-02 23:00,m3str,126939
2017-01-02 23:00,m4str,89544
2017-01-03 00:00,m1str,149980
2017-01-03 00:00,m2str,137580
2017-01-03 00:00,m3str,126456
2017-01-03 00:00,m4str,90572
2017-01-03 01:00,m1str,149808
2017-01-03 01:00,m2str,136692
2017-01-03 01:00,m3str,125342
2017-01-03 01:00,m4str,88535
2017-01-03 02:00,m1str,150088
2017-01-03 02:00,m2str,135869
2017-01-03 02:00,m3str,124773
2017-01-03 02:00,m4str,89238
2017-01-03 03:00,m1str,150804
2017-01-03 03:00,m2str,134817
2017-01-03 03:00,m3str,124877
2017-01-03 03:00,m4str,90218
2017-01-03 04:00,m1str,151572
2017-01-03 04:00,m2str,135314
2017-01-03 04:00,m3str,125156
2017-01-03 04:00,m4str,90578
2017-01-03 05:00,m1str,151704
2017-01-03 05:00,m2str,134808
2017-01-03 05:00,m3str,125372
2017-01-03 05:00,m4str,91566
2017-01-03 06:00,m1str,153944
2017-01-03 06:00,m2str,134934
2017-01-03 06:00,m3str,127130
2017-01-03 06:00,m4str,92161
2017-01-03 07:00,m1str,154164
2017-01-03 07:00,m2str,135126
2017-01-03 07:00,m3str,126902
2017-01-03 07:00,m4str,92150
2017-01-03 08:00,m1str,151436
2017-01-03 08:00,m2str,135852
2017-01-03 08:00,m3str,125072
2017-01-03 08:00,m4str,89943
2017-01-03 09:00,m1str,151628
2017-01-03 09:00,m2str,136496
2017-01-03 09:00,m3str,125438
2017-01-03 09:00,m4str,90325
2017-01-03 10:00,m1str,155640
2017-01-03 10:00,m2str,136911
2017-01-03 10:00,m3str,129657
2017-01-03 10:00,m4str,95211
2017-01-03 11:00,m1str,159196
2017-01-03 11:00,m2str,137410
2017-01-03 11:00,m3str,133860
2017-01-03 11:00,m4str,99113
2017-01-03 12:00,m1str,156232
2017-01-03 12:00,m2str,137622
2017-01-03 12:00,m3str,131644
2017-01-03 12:00,m4str,95962
2017-01-03 13:00,m1str,152676
2017-01-03 13:00,m2str,138536
2017-01-03 13:00,m3str,127928
2017-01-03 13:00,m4str,91684
2017-01-03 14:00,m1str,153612
2017-01-03 14:00,m2str,139835
2017-01-03 14:00,m3str,129487
2017-01-03 14:00,m4str,91849
2017-01-03 15:00,m1str,155312
2017-01-03 15:00,m2str,140766
2017-01-03 15:00,m3str,131078
2017-01-03 15:00,m4str,93888
2017-01-03 16:00,m1str,155820
2017-01-03 16:00,m2str,140890
2017-01-03 16:00,m3str,131816
2017-01-03 16:00,m4str,93917
2017-01-03 17:00,m1str,154596
2017-01-03 17:00,m2str,141251
2017-01-03 17:00,m3str,131941
2017-01-03 17:00,m4str,93835
2017-01-03 18:00,m1str,151620
2017-01-03 18:00,m2str,142485
2017-01-03 18:00,m3str,129305
2017-01-03 18:00,m4str,90095
2017-01-03 19:00,m1str,153404
2017-01-03 19:00,m2str,142730
2017-01-03 19:00,m3str,131502
2017-01-03 19:00,m4str,91674
2017-01-03 20:00,m1str,152712
2017-01-03 20:00,m2str,142625
2017-01-03 20:00,m3str,129887
2017-01-03 20:00,m4str,91250
2017-01-03 21:00,m1str,152524
2017-01-03 21:00,m2str,141230
2017-01-03 21:00,m3str,128868
2017-01-03 21:00,m4str,91168
2017-01-03 22:00,m1str,150944
2017-01-03 22:00,m2str,140403
2017-01-03 22:00,m3str,127643
2017-01-03 22:00,m4str,90371
2017-01-03 23:00,m1str,151164
2017-01-03 23:00,m2str,139037
2017-01-03 23:00,m3str,127491
2017-01-03 23:00,m4str,92592
2017-01-04 00:00,m1str,151080
2017-01-04 00:00,m2str,137678
2017-01-04 00:00,m3str,126564
2017-01-04 00:00,m4str,92217
2017-01-04 01:00,m1str,150340
2017-01-04 01:00,m2str,136482
2017-01-04 01:00,m3str,124648
2017-01-04 01:00,m4str,91172
2017-01-04 02:00,m1str,150628
2017-01-04 02:00,m2str,136142
2017-01-04 02:00,m3str,124576
2017-01-04 02:00,m4str,90971
2017-01-04 03:00,m1str,150792
2017-01-04 03:00,m2str,135830
2017-01-04 03:00,m3str,124076
2017-01-04 03:00,m4str,91029
2017-01-04 04:00,m1str,151504
2017-01-04 04:00,m2str,136342
2017-01-04 04:00,m3str,124510
2017-01-04 04:00,m4str,91595
2017-01-04 05:00,m1str,150992
2017-01-04 05:00,m2str,135393
2017-01-04 05:00,m3str,124099
2017-01-04 05:00,m4str,91653
2017-01-04 06:00,m1str,153288
2017-01-04 06:00,m2str,135221
2017-01-04 06:00,m3str,125237
2017-01-04 06:00,m4str,93709
2017-01-04 07:00,m1str,154176
2017-01-04 07:00,m2str,135968
2017-01-04 07:00,m3str,126436
2017-01-04 07:00,m4str,94279
2017-01-04 08:00,m1str,154276
2017-01-04 08:00,m2str,136639
2017-01-04 08:00,m3str,126797
2017-01-04 08:00,m4str,94309
2017-01-04 09:00,m1str,153320
2017-01-04 09:00,m2str,136944
2017-01-04 09:00,m3str,126310
2017-01-04 09:00,m4str,92833
2017-01-04 10:00,m1str,153872
2017-01-04 10:00,m2str,137354
2017-01-04 10:00,m3str,127512
2017-01-04 10:00,m4str,93529
2017-01-04 11:00,m1str,153360
2017-01-04 11:00,m2str,138356
2017-01-04 11:00,m3str,127960
2017-01-04 11:00,m4str,93829
2017-01-04 12:00,m1str,153952
2017-01-04 12:00,m2str,139457
2017-01-04 12:00,m3str,128855
2017-01-04 12:00,m4str,93524
2017-01-04 13:00,m1str,154432
2017-01-04 13:00,m2str,139834
2017-01-04 13:00,m3str,129662
2017-01-04 13:00,m4str,93223
2017-01-04 14:00,m1str,157264
2017-01-04 14:00,m2str,140201
2017-01-04 14:00,m3str,132053
2017-01-04 14:00,m4str,95787
2017-01-04 15:00,m1str,162256
2017-01-04 15:00,m2str,140344
2017-01-04 15:00,m3str,135402
2017-01-04 15:00,m4str,99636
2017-01-04 16:00,m1str,160832
2017-01-04 16:00,m2str,140649
2017-01-04 16:00,m3str,135345
2017-01-04 16:00,m4str,98374
2017-01-04 17:00,m1str,156632
2017-01-04 17:00,m2str,141684
2017-01-04 17:00,m3str,131864
2017-01-04 17:00,m4str,94962
2017-01-04 18:00,m1str,154068
2017-01-04 18:00,m2str,142772
2017-01-04 18:00,m3str,131242
2017-01-04 18:00,m4str,94140
2017-01-04 19:00,m1str,152908
2017-01-04 19:00,m2str,142690
2017-01-04 19:00,m3str,130158
2017-01-04 19:00,m4str,92039
2017-01-04 20:00,m1str,152832
2017-01-04 20:00,m2str,142500
2017-01-04 20:00,m3str,129280
2017-01-04 20:00,m4str,91073
2017-01-04 21:00,m1str,151288
2017-01-04 21:00,m2str,141266
2017-01-04 21:00,m3str,128036
2017-01-04 21:00,m4str,90580
2017-01-04 22:00,m1str,151620
2017-01-04 22:00,m2str,141103
2017-01-04 22:00,m3str,127379
2017-01-04 22:00,m4str,90224
2017-01-04 23:00,m1str,153736
2017-01-04 23:00,m2str,139704
2017-01-04 23:00,m3str,126220
2017-01-04 23:00,m4str,90740
2017-01-05 00:00,m1str,156664
2017-01-05 00:00,m2str,138092
2017-01-05 00:00,m3str,127276
2017-01-05 00:00,m4str,91760
2017-01-05 01:00,m1str,153468
2017-01-05 01:00,m2str,137413
2017-01-05 01:00,m3str,125661
2017-01-05 01:00,m4str,90620
2017-01-05 02:00,m1str,151556
2017-01-05 02:00,m2str,136390
2017-01-05 02:00,m3str,124648
2017-01-05 02:00,m4str,91033
2017-01-05 03:00,m1str,151984
2017-01-05 03:00,m2str,136030
2017-01-05 03:00,m3str,124730
2017-01-05 03:00,m4str,90464
2017-01-05 04:00,m1str,150720
2017-01-05 04:00,m2str,135583
2017-01-05 04:00,m3str,123471
2017-01-05 04:00,m4str,89658
2017-01-05 05:00,m1str,151956
2017-01-05 05:00,m2str,136063
2017-01-05 05:00,m3str,124811
2017-01-05 05:00,m4str,91969
2017-01-05 06:00,m1str,153832
2017-01-05 06:00,m2str,135605
2017-01-05 06:00,m3str,126057
2017-01-05 06:00,m4str,92476
2017-01-05 07:00,m1str,152664
2017-01-05 07:00,m2str,135550
2017-01-05 07:00,m3str,125218
2017-01-05 07:00,m4str,92487
2017-01-05 08:00,m1str,151940
2017-01-05 08:00,m2str,135906
2017-01-05 08:00,m3str,124780
2017-01-05 08:00,m4str,91267
2017-01-05 09:00,m1str,155068
2017-01-05 09:00,m2str,137133
2017-01-05 09:00,m3str,127893
2017-01-05 09:00,m4str,92965
2017-01-05 10:00,m1str,155168
2017-01-05 10:00,m2str,138660
2017-01-05 10:00,m3str,128620
2017-01-05 10:00,m4str,93444
2017-01-05 11:00,m1str,153816
2017-01-05 11:00,m2str,139071
2017-01-05 11:00,m3str,128097
2017-01-05 11:00,m4str,91710
2017-01-05 12:00,m1str,154704
2017-01-05 12:00,m2str,140016
2017-01-05 12:00,m3str,129780
2017-01-05 12:00,m4str,93918
2017-01-05 13:00,m1str,156200
2017-01-05 13:00,m2str,140516
2017-01-05 13:00,m3str,131428
2017-01-05 13:00,m4str,94242
2017-01-05 14:00,m1str,155184
2017-01-05 14:00,m2str,141099
2017-01-05 14:00,m3str,130803
2017-01-05 14:00,m4str,94262
2017-01-05 15:00,m1str,158072
2017-01-05 15:00,m2str,141412
2017-01-05 15:00,m3str,131860
2017-01-05 15:00,m4str,94844
2017-01-05 16:00,m1str,160032
2017-01-05 16:00,m2str,141245
2017-01-05 16:00,m3str,133213
2017-01-05 16:00,m4str,96288
2017-01-05 17:00,m1str,155808
2017-01-05 17:00,m2str,142424
2017-01-05 17:00,m3str,131242
2017-01-05 17:00,m4str,93244
2017-01-05 18:00,m1str,154024
2017-01-05 18:00,m2str,143218
2017-01-05 18:00,m3str,129830
2017-01-05 18:00,m4str,91488
2017-01-05 19:00,m1str,154000
2017-01-05 19:00,m2str,143559
2017-01-05 19:00,m3str,129945
2017-01-05 19:00,m4str,91032
2017-01-05 20:00,m1str,151932
2017-01-05 20:00,m2str,143114
2017-01-05 20:00,m3str,128728
2017-01-05 20:00,m4str,90539
2017-01-05 21:00,m1str,151496
2017-01-05 21:00,m2str,141523
2017-01-05 21:00,m3str,126023
2017-01-05 21:00,m4str,88689
2017-01-05 22:00,m1str,151284
2017-01-05 22:00,m2str,141014
2017-01-05 22:00,m3str,125192
2017-01-05 22:00,m4str,88026
2017-01-05 23:00,m1str,154672
2017-01-05 23:00,m2str,139705
2017-01-05 23:00,m3str,125161
2017-01-05 23:00,m4str,89595
2017-01-06 00:00,m1str,151260
2017-01-06 00:00,m2str,138667
2017-01-06 00:00,m3str,124319
2017-01-06 00:00,m4str,88922
2017-01-06 01:00,m1str,149428
2017-01-06 01:00,m2str,137931
2017-01-06 01:00,m3str,123437
2017-01-06 01:00,m4str,87856
2017-01-06 02:00,m1str,151256
2017-01-06 02:00,m2str,137185
2017-01-06 02:00,m3str,124533
2017-01-06 02:00,m4str,90061
2017-01-06 03:00,m1str,149536
2017-01-06 03:00,m2str,136827
2017-01-06 03:00,m3str,122955
2017-01-06 03:00,m4str,89529
2017-01-06 04:00,m1str,150068
2017-01-06 04:00,m2str,136328
2017-01-06 04:00,m3str,123698
2017-01-06 04:00,m4str,90932
2017-01-06 05:00,m1str,150820
2017-01-06 05:00,m2str,136853
2017-01-06 05:00,m3str,124581
2017-01-06 05:00,m4str,91551
2017-01-06 06:00,m1str,152696
2017-01-06 06:00,m2str,136811
2017-01-06 06:00,m3str,125701
2017-01-06 06:00,m4str,92190
2017-01-06 07:00,m1str,152452
2017-01-06 07:00,m2str,137319
2017-01-06 07:00,m3str,125163
2017-01-06 07:00,m4str,90924
2017-01-06 08:00,m1str,151484
2017-01-06 08:00,m2str,138530
2017-01-06 08:00,m3str,124902
2017-01-06 08:00,m4str,91863
2017-01-06 09:00,m1str,153256
2017-01-06 09:00,m2str,139084
2017-01-06 09:00,m3str,126374
2017-01-06 09:00,m4str,91577
2017-01-06 10:00,m1str,153812
2017-01-06 10:00,m2str,139047
2017-01-06 10:00,m3str,127659
2017-01-06 10:00,m4str,92233
2017-01-06 11:00,m1str,152532
2017-01-06 11:00,m2str,139490
2017-01-06 11:00,m3str,127090
2017-01-06 11:00,m4str,91533
2017-01-06 12:00,m1str,153340
2017-01-06 12:00,m2str,139756
2017-01-06 12:00,m3str,127846
2017-01-06 12:00,m4str,92589
2017-01-06 13:00,m1str,155024
2017-01-06 13:00,m2str,140615
2017-01-06 13:00,m3str,130169
2017-01-06 13:00,m4str,93689
2017-01-06 14:00,m1str,156012
2017-01-06 14:00,m2str,141310
2017-01-06 14:00,m3str,131674
2017-01-06 14:00,m4str,94678
2017-01-06 15:00,m1str,161700
2017-01-06 15:00,m2str,142077
2017-01-06 15:00,m3str,135473
2017-01-06 15:00,m4str,98969
2017-01-06 16:00,m1str,158092
2017-01-06 16:00,m2str,142846
2017-01-06 16:00,m3str,132072
2017-01-06 16:00,m4str,93936
2017-01-06 17:00,m1str,154324
2017-01-06 17:00,m2str,142854
2017-01-06 17:00,m3str,131000
2017-01-06 17:00,m4str,92678
2017-01-06 18:00,m1str,152572
2017-01-06 18:00,m2str,143564
2017-01-06 18:00,m3str,131084
2017-01-06 18:00,m4str,91917
2017-01-06 19:00,m1str,152072
2017-01-06 19:00,m2str,144231
2017-01-06 19:00,m3str,130733
2017-01-06 19:00,m4str,90683
2017-01-06 20:00,m1str,153396
2017-01-06 20:00,m2str,143886
2017-01-06 20:00,m3str,131808
2017-01-06 20:00,m4str,91776
2017-01-06 21:00,m1str,153716
2017-01-06 21:00,m2str,143231
2017-01-06 21:00,m3str,131785
2017-01-06 21:00,m4str,92334
2017-01-06 22:00,m1str,151720
2017-01-06 22:00,m2str,142538
2017-01-06 22:00,m3str,129770
2017-01-06 22:00,m4str,90541
2017-01-06 23:00,m1str,151844
2017-01-06 23:00,m2str,141869
2017-01-06 23:00,m3str,127851
2017-01-06 23:00,m4str,91711
2017-01-07 00:00,m1str,152548
2017-01-07 00:00,m2str,140289
2017-01-07 00:00,m3str,127855
2017-01-07 00:00,m4str,91890
2017-01-07 01:00,m1str,150460
2017-01-07 01:00,m2str,139344
2017-01-07 01:00,m3str,126240
2017-01-07 01:00,m4str,90362
2017-01-07 02:00,m1str,149920
2017-01-07 02:00,m2str,138336
2017-01-07 02:00,m3str,125142
2017-01-07 02:00,m4str,91070
2017-01-07 03:00,m1str,150532
2017-01-07 03:00,m2str,137101
2017-01-07 03:00,m3str,125155
2017-01-07 03:00,m4str,91894
2017-01-07 04:00,m1str,150236
2017-01-07 04:00,m2str,136818
2017-01-07 04:00,m3str,124962
2017-01-07 04:00,m4str,91481
2017-01-07 05:00,m1str,150608
2017-01-07 05:00,m2str,136602
2017-01-07 05:00,m3str,125114
2017-01-07 05:00,m4str,91336
2017-01-07 06:00,m1str,152120
2017-01-07 06:00,m2str,136640
2017-01-07 06:00,m3str,126138
2017-01-07 06:00,m4str,91873
